Accession,Gene Symbol,CLIP-seq p-value,CLIP-seq FDR,RNA-seq reads (for normalization),CLIP-seq reads (35L33G),"CLIP-seq enrichment (35L33G, log2)",CLIP-seq reads (2J3),"CLIP-seq enrichment (2J3, log2)",CLIP-seq reads (polyclonal),"CLIP-seq enrichment (polyclonal, log2)",Ribosome density change (log2),Ribosome occupancy change (log2),RPF  reads (siLuc),RNA-seq short tag alignment reads (siLuc),RPF  reads (siLin28a),RNA-seq short tag alignment reads (siLin28a),"RNA-seq reads (untreated, RPKM)","RNA-seq reads (siLuc, RPKM)","RNA-seq reads (siLin28a, RPKM)",RNA-seq mRNA change upon Lin28a KD (log2),Description
NM_144953,1700019D03Rik,0.281842336716574,0.979501630275217,279.0,332.0,0.250095350126295,318.0,0.188129596819902,239.0,-0.222392421336448,1.74491455612495,1.26449210469776,4.06861293315773,60.3367534998585,9.77454224790104,43.2474365520945,42.0256011506,27.9611877952,42.0256011506,-0.586121196585,UPF0733 protein C2orf88 homolog
NM_023065,Ifi30,0.367367637043172,0.999999999990223,392.0,329.0,-0.25206328801279,365.0,-0.102685663974564,413.0,0.0751014552407187,1.45327888932791,0.561661004916272,113.80891429956,43.1552982920111,167.978264599456,23.2611078524581,41.5496189607,25.7613391082,41.5496189607,-0.687506316603,gamma-interferon-inducible lysosomal thiol reductase
NM_001039368,Polr2k,,,,,,,,,,1.38830554082163,-0.0507945700282178,235.875985430304,84.486352863629,227.715733559851,31.1583364545657,5.40291398334,4.70913380881,5.40291398334,-0.194418709757,"DNA-directed RNA polymerases I, II, and III subunit RPABC4 isoform a"
NM_173734,Tmem87a,0.00110937086379514,0.0455018846325538,479.0,1807.0,1.91328836680666,1929.0,2.00749453654692,1935.0,2.01197264166607,1.38618149224159,0.898551240973815,60.4582300044775,21.6664460560714,112.705810022589,15.4524144362665,19.8356163986,14.1557863171,19.8356163986,-0.483800596099,transmembrane protein 87A isoform 1
NM_010685,Lamp2,0.00114666804049456,0.0464761711688645,666.0,2323.0,1.80085140221994,2742.0,2.03999595566369,2796.0,2.0681215872916,1.38196731777736,1.16396522874379,113.782459414786,22.5125781510259,254.955135685335,19.3553070607426,22.8715261005,19.9369388712,22.8715261005,-0.19718458586,lysosome-associated membrane glycoprotein 2 isoform 2 precursor
NM_175036,Leprot,0.0900835762376679,0.565839180821715,526.0,853.0,0.696433107983275,781.0,0.569365645670137,879.0,0.739700561887445,1.3805705241858,0.949450395395641,125.325607471358,57.6647133967736,242.020897311665,42.7690936932607,28.0439329705,26.9523254453,28.0439329705,-0.0570713369966,leptin receptor gene-related protein
NM_028339,Tmx1,8.98906521948905e-05,0.0105161848221181,361.0,2402.0,2.73077504604666,2403.0,2.73137529362798,2531.0,2.80621580234513,1.37309461100026,1.06510401662595,47.8038819670038,22.997062979381,100.02105311965,18.5762465820896,24.8523796328,19.205668692,24.8523796328,-0.370152881681,thioredoxin-related transmembrane protein 1 precursor
NM_025514,Anapc16,0.479159926366332,0.999999999990223,212.0,190.0,-0.157280792190089,148.0,-0.515541099763676,180.0,-0.234863733142632,1.33763569591814,0.106950827711283,31.0194248933377,39.1339982242714,33.4063593779615,16.6755881480148,23.0509694523,13.1600624273,23.0509694523,-0.803985040383,anaphase-promoting complex subunit 16
NM_028076,Tmub2,0.850747344229747,0.999999999990223,263.0,135.0,-0.956931278108114,145.0,-0.854569560478436,94.0,-1.4745385110275,1.31114062567633,0.723250981405925,24.1169343324818,23.0394682779648,39.8145985086378,15.328513292933,18.4452802556,15.049601448,18.4452802556,-0.291772229833,transmembrane and ubiquitin-like domain-containing protein 2
NM_133352,Tm9sf3,0.000860215786013585,0.040072043063393,1100.0,4465.0,2.0201687822581,4290.0,1.96249943218401,4979.0,2.17733127339107,1.27741515718003,0.74549574483382,47.1148900268265,36.2599463981208,78.9904817604613,25.0786098627372,21.6645946413,14.673723579,21.6645946413,-0.558949660896,transmembrane 9 superfamily member 3 precursor
NM_011491,Stc2,0.00481168026443912,0.10792210963486,251.0,873.0,1.79420954600068,675.0,1.42359951278226,800.0,1.66837850890879,1.24812316049653,1.0142960041932,47.705015922112,27.2389454788715,96.3601720777927,23.163346432537,26.0389717955,22.7023134932,26.0389717955,-0.197022186507,stanniocalcin-2 precursor
