Accession,Gene Symbol,CLIP-seq p-value,CLIP-seq FDR,RNA-seq reads (for normalization),CLIP-seq reads (35L33G),"CLIP-seq enrichment (35L33G, log2)",CLIP-seq reads (2J3),"CLIP-seq enrichment (2J3, log2)",CLIP-seq reads (polyclonal),"CLIP-seq enrichment (polyclonal, log2)",Ribosome density change (log2),Ribosome occupancy change (log2),RPF  reads (siLuc),RNA-seq short tag alignment reads (siLuc),RPF  reads (siLin28a),RNA-seq short tag alignment reads (siLin28a),"RNA-seq reads (untreated, RPKM)","RNA-seq reads (siLuc, RPKM)","RNA-seq reads (siLin28a, RPKM)",RNA-seq mRNA change upon Lin28a KD (log2),Description,mean_CLIP_enrichment
NM_173734,Tmem87a,0.00110937086379514,0.0455018846325538,479.0,1807.0,1.91328836680666,1929.0,2.00749453654692,1935.0,2.01197264166607,1.38618149224159,0.898551240973815,60.4582300044775,21.6664460560714,112.705810022589,15.4524144362665,19.8356163986,14.1557863171,19.8356163986,-0.483800596099,transmembrane protein 87A isoform 1,1.977585181673217
NM_010685,Lamp2,0.00114666804049456,0.0464761711688645,666.0,2323.0,1.80085140221994,2742.0,2.03999595566369,2796.0,2.0681215872916,1.38196731777736,1.16396522874379,113.782459414786,22.5125781510259,254.955135685335,19.3553070607426,22.8715261005,19.9369388712,22.8715261005,-0.19718458586,lysosome-associated membrane glycoprotein 2 isoform 2 precursor,1.96965631505841
NM_028339,Tmx1,8.98906521948905e-05,0.0105161848221181,361.0,2402.0,2.73077504604666,2403.0,2.73137529362798,2531.0,2.80621580234513,1.37309461100026,1.06510401662595,47.8038819670038,22.997062979381,100.02105311965,18.5762465820896,24.8523796328,19.205668692,24.8523796328,-0.370152881681,thioredoxin-related transmembrane protein 1 precursor,2.756122047339923
NM_133718,Tmem30a,0.00124586860530395,0.0495220744849584,486.0,1860.0,1.9340843779768,1780.0,1.87069383901927,2046.0,2.07151742494106,1.18081353289414,1.04928622395458,28.9504863978538,23.1469459900353,59.9131966926138,21.1300260779639,16.1189295766,18.6024570968,16.1189295766,0.205549214242,cell cycle control protein 50A,1.9587652139790432
NM_001110013,Tmtc3,0.000793340324655611,0.0386559922092962,474.0,1875.0,1.98166040929706,2012.0,2.08334775370302,2068.0,2.12293422664169,1.16203010742078,1.07527793215564,20.6261928977377,17.3947072763295,43.4620278986475,16.37955571998,7.77196999652,6.67387473061,7.77196999652,-0.216743414659,transmembrane and TPR repeat-containing protein 3 isoform 1,2.0626474632139233
NM_007399,Adam10,0.000223845026778191,0.0192040379223456,397.0,2053.0,2.36759584577454,2007.0,2.33491893340712,2295.0,2.52828230613203,1.13797161006331,0.944363683087741,36.990842457862,18.8633051991121,71.1829558212144,16.4943800901397,17.4034346668,15.7213134091,17.4034346668,-0.145768676865,disintegrin and metalloproteinase domain-containing protein 10 precursor,2.4102656951045636
NM_026210,Fam18b,0.0010859471951421,0.0450799450564029,555.0,2017.0,1.85976938638284,2176.0,1.96918461946469,2426.0,2.12601732042762,1.04629294715167,0.629205066081922,57.4435717433871,47.5903160021358,88.848691064052,35.6420459299559,42.7808169205,31.3269392233,42.7808169205,-0.448330620785,protein FAM18B1,1.9849904420917166
NM_009579,Slc30a1,9.53607747505858e-05,0.0110307772590705,753.0,4822.0,2.67729438149323,4852.0,2.68624043149553,5290.0,2.81090398913867,1.01783027454558,0.640171519523527,27.7192602991162,27.6750369705283,43.2008673701874,21.3010786700236,17.2399857081,13.4162720557,17.2399857081,-0.359405414974,zinc transporter 1,2.7248129340424767
NM_010560,Il6st,0.00123793529216986,0.049403262930768,1401.0,5258.0,1.90730214747007,5565.0,1.98915455932098,5435.0,1.95505910675676,1.01668518314567,0.830245725845778,96.6994625243403,34.0348689959125,171.930500502295,29.9088844070875,33.1741296969,29.9790215217,33.1741296969,-0.145643295613,interleukin-6 receptor subunit beta precursor,1.9505052711826034
NM_008514,Lrp6,0.000262757876130281,0.0208084025750865,1455.0,7210.0,2.30818898645402,7561.0,2.37675749378853,8070.0,2.47073707951068,1.01432058972332,1.10985875520804,14.9576639713419,21.7531963459052,32.2823059168596,23.2425050172082,17.3540489565,18.7958990061,17.3540489565,0.114511410162,low-density lipoprotein receptor-related protein 6 precursor,2.385227853251077
NM_027439,Atp6ap2,0.000597779641436924,0.0330867817666297,629.0,2459.0,1.96523458183932,2876.0,2.191141487352,3032.0,2.26732176423689,1.01336926755209,0.836623206456038,131.583431326203,47.6862175492181,234.990273971974,42.1878127505332,35.4777965975,35.3466288223,35.4777965975,-0.00532873903085,renin receptor precursor,2.141232611142737
NM_010578,Itgb1,0.00078760969486602,0.0386559922092962,740.0,3071.0,2.05163276841532,3331.0,2.16884295305971,2991.0,2.0135647275818,0.979444222912698,0.625771317621176,104.61274605606,31.8716671073859,161.421188058109,24.9424222724562,25.1029638123,21.2480454771,25.1029638123,-0.239489411647,integrin beta-1 precursor,2.078013483018943
NM_025813,Mfsd1,0.000167867562873014,0.0158550143098869,929.0,5320.0,2.51639478218756,5119.0,2.46084118889196,5474.0,2.5575563433805,0.961315607317394,0.675863286778837,67.0672860356065,37.1952496883901,107.143506306024,30.5181193848615,34.5446136752,25.3796469212,34.5446136752,-0.443285782833,major facilitator superfamily domain-containing,2.51159743815334
NM_026400,Dnajb11,0.000111199156328956,0.0121555338250289,583.0,4008.0,2.77920214327075,4049.0,2.79388163377933,3408.0,2.54530832525992,0.938011787360047,0.428637447153963,131.737957127934,84.0334381638818,177.314255695559,59.035762553536,44.8208174992,33.7295226703,44.8208174992,-0.409101362056,dnaJ homolog subfamily B member 11 precursor,2.70613070077
NM_177730,Impad1,0.000216345360364633,0.0187166007138983,694.0,3465.0,2.3181867715493,3797.0,2.45015502253862,3981.0,2.51840833810963,0.879575752796493,0.849454605418919,23.2802986014907,24.000536263517,41.9468992189336,23.5046385324399,20.7144730888,17.2908778704,20.7144730888,-0.25925627764,inositol monophosphatase 3,2.428916710732517
NM_021495,Pvrl3,7.28668170081325e-05,0.00882545742469088,390.0,2690.0,2.78290187833306,3051.0,2.96451444952717,2916.0,2.89924487359082,0.867099929565111,0.524844920464172,25.8326658845269,22.896816041944,37.1674949442915,18.0611779268589,21.8714374733,17.4556819684,21.8714374733,-0.323691220379,poliovirus receptor-related protein 3 isoform alpha,2.8822204004836833
NM_029478,Tmem49,0.000884787123800023,0.0406646582121484,620.0,2623.0,2.0791025463976,2478.0,1.99709309786624,2557.0,2.04235109066115,0.864792549158629,0.257457985249214,99.9622846092512,50.2312120660165,119.491977775016,32.972185656302,23.9282259332,17.5699138548,23.9282259332,-0.44343512804,vacuole membrane protein 1,2.0395155783083303
