Accession,Gene Symbol,CLIP-seq p-value,CLIP-seq FDR,RNA-seq reads (for normalization),CLIP-seq reads (35L33G),"CLIP-seq enrichment (35L33G, log2)",CLIP-seq reads (2J3),"CLIP-seq enrichment (2J3, log2)",CLIP-seq reads (polyclonal),"CLIP-seq enrichment (polyclonal, log2)",Ribosome density change (log2),Ribosome occupancy change (log2),RPF  reads (siLuc),RNA-seq short tag alignment reads (siLuc),RPF  reads (siLin28a),RNA-seq short tag alignment reads (siLin28a),"RNA-seq reads (untreated, RPKM)","RNA-seq reads (siLuc, RPKM)","RNA-seq reads (siLin28a, RPKM)",RNA-seq mRNA change upon Lin28a KD (log2),Description,mean_CLIP_enrichment,candidate_group,is_ER_or_protein_folding,is_membrane_or_transmembrane,is_secretory_or_extracellular,is_Golgi_or_trafficking,is_lysosome_or_endosome,is_receptor_or_signaling,is_transporter_or_channel,is_adhesion_or_ECM,is_other_or_unclear
NM_173734,Tmem87a,0.0011093708637951,0.0455018846325538,479.0,1807.0,1.91328836680666,1929.0,2.00749453654692,1935.0,2.01197264166607,1.38618149224159,0.898551240973815,60.4582300044775,21.6664460560714,112.705810022589,15.4524144362665,19.8356163986,14.1557863171,19.8356163986,-0.483800596099,transmembrane protein 87A isoform 1,1.977585181673217,A_and_B_overlap,False,True,False,False,False,False,False,False,False
NM_010685,Lamp2,0.0011466680404945,0.0464761711688645,666.0,2323.0,1.80085140221994,2742.0,2.03999595566369,2796.0,2.0681215872916,1.38196731777736,1.16396522874379,113.782459414786,22.5125781510259,254.955135685335,19.3553070607426,22.8715261005,19.9369388712,22.8715261005,-0.19718458586,lysosome-associated membrane glycoprotein 2 isoform 2 precursor,1.96965631505841,A_and_B_overlap,False,True,True,False,True,False,False,False,False
NM_028339,Tmx1,8.98906521948905e-05,0.0105161848221181,361.0,2402.0,2.73077504604666,2403.0,2.73137529362798,2531.0,2.80621580234513,1.37309461100026,1.06510401662595,47.8038819670038,22.997062979381,100.02105311965,18.5762465820896,24.8523796328,19.205668692,24.8523796328,-0.370152881681,thioredoxin-related transmembrane protein 1 precursor,2.756122047339923,A_and_B_overlap,True,True,False,False,False,False,False,False,False
NM_133718,Tmem30a,0.0012458686053039,0.0495220744849584,486.0,1860.0,1.9340843779768,1780.0,1.87069383901927,2046.0,2.07151742494106,1.18081353289414,1.04928622395458,28.9504863978538,23.1469459900353,59.9131966926138,21.1300260779639,16.1189295766,18.6024570968,16.1189295766,0.205549214242,cell cycle control protein 50A,1.9587652139790432,A_and_B_overlap,False,False,False,False,False,False,False,False,True
NM_001110013,Tmtc3,0.0007933403246556,0.0386559922092962,474.0,1875.0,1.98166040929706,2012.0,2.08334775370302,2068.0,2.12293422664169,1.16203010742078,1.07527793215564,20.6261928977377,17.3947072763295,43.4620278986475,16.37955571998,7.77196999652,6.67387473061,7.77196999652,-0.216743414659,transmembrane and TPR repeat-containing protein 3 isoform 1,2.062647463213924,A_and_B_overlap,False,True,False,False,False,False,False,False,False
NM_007399,Adam10,0.0002238450267781,0.0192040379223456,397.0,2053.0,2.36759584577454,2007.0,2.33491893340712,2295.0,2.52828230613203,1.13797161006331,0.944363683087741,36.990842457862,18.8633051991121,71.1829558212144,16.4943800901397,17.4034346668,15.7213134091,17.4034346668,-0.145768676865,disintegrin and metalloproteinase domain-containing protein 10 precursor,2.410265695104564,A_and_B_overlap,False,False,False,False,False,True,False,True,False
NM_026210,Fam18b,0.0010859471951421,0.0450799450564029,555.0,2017.0,1.85976938638284,2176.0,1.96918461946469,2426.0,2.12601732042762,1.04629294715167,0.629205066081922,57.4435717433871,47.5903160021358,88.848691064052,35.6420459299559,42.7808169205,31.3269392233,42.7808169205,-0.448330620785,protein FAM18B1,1.9849904420917168,A_and_B_overlap,False,False,False,False,False,False,False,False,True
NM_009579,Slc30a1,9.53607747505858e-05,0.0110307772590705,753.0,4822.0,2.67729438149323,4852.0,2.68624043149553,5290.0,2.81090398913867,1.01783027454558,0.640171519523527,27.7192602991162,27.6750369705283,43.2008673701874,21.3010786700236,17.2399857081,13.4162720557,17.2399857081,-0.359405414974,zinc transporter 1,2.7248129340424767,A_and_B_overlap,False,False,False,False,False,False,True,False,False
NM_010560,Il6st,0.0012379352921698,0.049403262930768,1401.0,5258.0,1.90730214747007,5565.0,1.98915455932098,5435.0,1.95505910675676,1.01668518314567,0.830245725845778,96.6994625243403,34.0348689959125,171.930500502295,29.9088844070875,33.1741296969,29.9790215217,33.1741296969,-0.145643295613,interleukin-6 receptor subunit beta precursor,1.9505052711826036,A_and_B_overlap,False,False,False,False,False,True,False,False,False
NM_008514,Lrp6,0.0002627578761302,0.0208084025750865,1455.0,7210.0,2.30818898645402,7561.0,2.37675749378853,8070.0,2.47073707951068,1.01432058972332,1.10985875520804,14.9576639713419,21.7531963459052,32.2823059168596,23.2425050172082,17.3540489565,18.7958990061,17.3540489565,0.114511410162,low-density lipoprotein receptor-related protein 6 precursor,2.385227853251077,A_and_B_overlap,False,False,False,False,False,True,False,False,False
NM_027439,Atp6ap2,0.0005977796414369,0.0330867817666297,629.0,2459.0,1.96523458183932,2876.0,2.191141487352,3032.0,2.26732176423689,1.01336926755209,0.836623206456038,131.583431326203,47.6862175492181,234.990273971974,42.1878127505332,35.4777965975,35.3466288223,35.4777965975,-0.00532873903085,renin receptor precursor,2.141232611142737,A_and_B_overlap,False,False,False,False,False,True,False,False,False
