Accession,Gene Symbol,Description,mean_CLIP_enrichment,CLIP-seq FDR,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2)
NM_016783,Pgrmc1,membrane-associated progesterone receptor,4.03142275105527,0.0041563034227328,0.314689645308033,-0.219797064771
NM_008477,Ktn1,kinectin,2.913330347135473,0.0087954371177507,0.605196674412884,-0.399327911204
NM_021495,Pvrl3,poliovirus receptor-related protein 3 isoform alpha,2.8822204004836838,0.0088254574246908,0.867099929565111,-0.323691220379
NM_028339,Tmx1,thioredoxin-related transmembrane protein 1 precursor,2.756122047339923,0.0105161848221181,1.37309461100026,-0.370152881681
NM_009579,Slc30a1,zinc transporter 1,2.7248129340424767,0.0110307772590705,1.01783027454558,-0.359405414974
NM_026400,Dnajb11,dnaJ homolog subfamily B member 11 precursor,2.70613070077,0.0121555338250289,0.938011787360047,-0.409101362056
NM_007597,Canx,calnexin precursor,2.61146307642961,0.0133360564994699,0.680820523073022,-0.229536120268
NM_026417,Yipf4,protein YIPF4,2.565631953527513,0.0143695777631491,0.844764851595955,-0.0375398578956
NM_026168,Ergic2,endoplasmic reticulum-Golgi intermediate compartment protein 2 isoform 1,2.525519534655424,0.0149417148474297,0.476612495895705,0.206948818769
NM_025813,Mfsd1,major facilitator superfamily domain-containing,2.51159743815334,0.0158550143098869,0.961315607317394,-0.443285782833
NM_018794,Atp6ap1,V-type proton ATPase subunit S1 precursor,2.4593607167244933,0.017741320568628,0.457352815225601,0.299368026899
NM_028817,Acsl3,long-chain-fatty-acid--CoA ligase 3 isoform a,2.4332867803406835,0.0184734852679407,0.375121296835697,-0.46565749763
NM_177730,Impad1,inositol monophosphatase 3,2.428916710732517,0.0187166007138983,0.879575752796493,-0.25925627764
NM_172700,Zmpste24,CAAX prenyl protease 1 homolog,2.41672612974914,0.0185715729419798,0.344085143553899,-0.151167945211
NM_007399,Adam10,disintegrin and metalloproteinase domain-containing protein 10 precursor,2.410265695104564,0.0192040379223456,1.13797161006331,-0.145768676865
NM_001039644,Edem3,ER degradation-enhancing alpha-mannosidase-like,2.40841448777942,0.0194467308881659,0.626335409647988,-0.249292711859
NM_008514,Lrp6,low-density lipoprotein receptor-related protein 6 precursor,2.385227853251077,0.0208084025750865,1.01432058972332,0.114511410162
NM_029103,Manf,mesencephalic astrocyte-derived neurotrophic factor precursor,2.3068365767071737,0.0238919191765189,0.366731531851804,-0.120089911664
NM_025448,Ssr2,translocon-associated protein subunit beta precursor,2.296225274841363,0.024461507128327,0.396727469728027,0.0894394116481
NM_019760,Serinc1,serine incorporator 1 precursor,2.2876779839540298,0.0245131503339916,0.735326971282055,-0.14668986337
NM_133819,Ppp1r15b,protein phosphatase 1 regulatory subunit 15B,2.277315430871006,0.0249531475400562,0.792021243604485,-0.239025014231
NM_011631,Hsp90b1,endoplasmin precursor,2.2642776524564696,0.0251809901234001,0.853481236367716,-0.310939842423
NM_026614,Ndufa5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,2.214874049382027,0.0287159670621819,0.48818278534369,-0.0149075746913
NM_025382,Tmem57,macoilin,2.210481576548737,0.0289817741017092,0.489617135326778,-0.43200425469
NM_177389,Mia3,melanoma inhibitory activity protein 3 precursor,2.18623802188695,0.0296620069560154,0.840634456841238,-0.104672317782
NM_053262,Hsd17b11,estradiol 17-beta-dehydrogenase 11,2.177878518398277,0.0309928958332411,0.838506966340229,-0.207879617573
NM_026482,Atp2b1,plasma membrane calcium ATPase 1,2.17699438563543,0.0300675951700727,0.558753930124551,0.0200266460361
NM_011479,Sptlc2,serine palmitoyltransferase 2,2.15323642302975,0.0323131534851468,0.568933266317062,-0.335802319773
NM_027439,Atp6ap2,renin receptor precursor,2.141232611142737,0.0330867817666297,1.01336926755209,-0.00532873903085
NM_030201,Hspa13,heat shock 70 kDa protein 13 precursor,2.1092064055227837,0.034870598363006,0.79706981610956,-0.184931046847
NM_010578,Itgb1,integrin beta-1 precursor,2.078013483018943,0.0386559922092962,0.979444222912698,-0.239489411647
NM_007594,Calu,calumenin isoform 1,2.069832546561244,0.0385301864273994,0.591466885983573,-0.106905090407
NM_029572,Erp44,endoplasmic reticulum resident protein 44 precursor,2.0672700100000463,0.0386559922092962,0.706890101902748,-0.0958184712427
NM_001110013,Tmtc3,transmembrane and TPR repeat-containing protein 3 isoform 1,2.062647463213924,0.0386559922092962,1.16203010742078,-0.216743414659
NM_001025192,Cxadr,coxsackievirus and adenovirus receptor homolog isoform a,2.0533216613552967,0.0400512671566308,0.703920880639591,0.0585577476853
NM_029478,Tmem49,vacuole membrane protein 1,2.0395155783083303,0.0406646582121484,0.864792549158629,-0.44343512804
NM_011149,Ppib,peptidyl-prolyl cis-trans isomerase B precursor,2.0297147525468566,0.0424599811881367,0.584776916170851,-0.473335478329
NM_023403,Mesdc2,LDLR chaperone MESD precursor,2.0040893309370102,0.0441364004166558,0.437658075436757,0.136611819496
NM_008255,Hmgcr,3-hydroxy-3-methylglutaryl-coenzyme A reductase,1.99874841579602,0.0440583399481232,0.420757440641198,-0.311106584443
NM_133815,Lbr,lamin-B receptor,1.9979363785011632,0.0453492763604981,0.363356118901452,-0.295958177787
NM_026210,Fam18b,protein FAM18B1,1.9849904420917168,0.0450799450564029,1.04629294715167,-0.448330620785
NM_173734,Tmem87a,transmembrane protein 87A isoform 1,1.977585181673217,0.0455018846325538,1.38618149224159,-0.483800596099
NM_010685,Lamp2,lysosome-associated membrane glycoprotein 2 isoform 2 precursor,1.96965631505841,0.0464761711688645,1.38196731777736,-0.19718458586
NM_178736,Elmod2,ELMO domain-containing protein 2,1.9640174621369733,0.0497843406844549,0.7029847233062,-0.00416536582895
NM_133718,Tmem30a,cell cycle control protein 50A,1.9587652139790432,0.0495220744849584,1.18081353289414,0.205549214242
NM_001039089,Sel1l,protein sel-1 homolog 1 isoform a,1.9584962809736437,0.049403262930768,0.448968377771856,0.0698296064979
NM_010560,Il6st,interleukin-6 receptor subunit beta precursor,1.9505052711826036,0.049403262930768,1.01668518314567,-0.145643295613
NM_026009,Ccdc47,coiled-coil domain-containing protein 47 precursor,1.94814273996534,0.0497843406844549,0.54656558983839,-0.386355952781
