Accession,Gene Symbol,Description,mean_CLIP_enrichment,CLIP-seq FDR,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),evidence_level,suggested_subclass,review_note
NM_008477,Ktn1,kinectin,2.913330347135473,0.0087954371177507,0.605196674412884,-0.399327911204,B,ER_or_protein_folding,"""kinectin"" — cytoplasmic face of rough ER in published literature, but description word alone does not contain an ER/membrane keyword. Keep as unclear without external reference."
NM_026417,Yipf4,protein YIPF4,2.565631953527513,0.0143695777631491,0.844764851595955,-0.0375398578956,C,(keep unclear),"""protein YIPF4"" — description is uninformative. Cannot assign subclass from description alone."
NM_025813,Mfsd1,major facilitator superfamily domain-containing,2.51159743815334,0.0158550143098869,0.961315607317394,-0.443285782833,B,is_transporter_or_channel,"""major facilitator superfamily domain-containing"" — MFS (major facilitator superfamily) is a canonical transporter superfamily. Description implies transporter function, but the word ""transporter"" or ""channel"" is absent. Suggestive; keep as unclear unless user wishes to add MFS as a keyword."
NM_028817,Acsl3,long-chain-fatty-acid--CoA ligase 3 isoform a,2.4332867803406835,0.0184734852679407,0.375121296835697,-0.46565749763,C,(keep unclear),"""long-chain-fatty-acid--CoA ligase 3 isoform a"" — acyl-CoA synthetase, lipid metabolism enzyme. No direct subclass keyword in description."
NM_177730,Impad1,inositol monophosphatase 3,2.428916710732517,0.0187166007138983,0.879575752796493,-0.25925627764,C,(keep unclear),"""inositol monophosphatase 3"" — phosphatase, inositol metabolism. No subclass keyword in description."
NM_172700,Zmpste24,CAAX prenyl protease 1 homolog,2.41672612974914,0.0185715729419798,0.344085143553899,-0.151167945211,B,is_membrane_or_transmembrane,"""CAAX prenyl protease 1 homolog"" — CAAX motif processing occurs at ER/inner nuclear membrane; ""protease"" and ""prenyl"" do not match our keywords. Suggestive of membrane-associated function; keep as unclear."
NM_001039644,Edem3,ER degradation-enhancing alpha-mannosidase-like,2.40841448777942,0.0194467308881659,0.626335409647988,-0.249292711859,A,is_ER_or_protein_folding,"""ER degradation-enhancing alpha-mannosidase-like"" — ""ER"" is explicitly present in the description. Regex keyword ' er ' (with spaces) did not match because ""ER"" appears at the start of the matched text without a leading space. RECOMMENDATION: reclassify as is_ER_or_protein_folding. This is a keyword matching gap, not a biological ambiguity."
NM_029103,Manf,mesencephalic astrocyte-derived neurotrophic factor precursor,2.3068365767071737,0.0238919191765189,0.366731531851804,-0.120089911664,B,is_secretory_or_extracellular,"""mesencephalic astrocyte-derived neurotrophic factor precursor"" — ""precursor"" may indicate a signal peptide / secreted protein. ""neurotrophic factor"" is consistent with secretory pathway. Not definitive from description alone; keep as unclear."
NM_019760,Serinc1,serine incorporator 1 precursor,2.2876779839540298,0.0245131503339916,0.735326971282055,-0.14668986337,B,is_membrane_or_transmembrane,"""serine incorporator 1 precursor"" — SERINC family proteins are multi-pass membrane proteins. ""incorporator"" and ""precursor"" do not match our membrane keyword directly. Suggestive; keep as unclear."
NM_133819,Ppp1r15b,protein phosphatase 1 regulatory subunit 15B,2.277315430871006,0.0249531475400562,0.792021243604485,-0.239025014231,C,(keep unclear),"""protein phosphatase 1 regulatory subunit 15B"" — phosphatase regulatory protein. No subclass keyword in description."
NM_011631,Hsp90b1,endoplasmin precursor,2.2642776524564696,0.0251809901234001,0.853481236367716,-0.310939842423,B,is_ER_or_protein_folding,"""endoplasmin precursor"" — Endoplasmin is the common name for GRP94, an Hsp90-family ER chaperone. However, ""endoplasmin"" alone does not contain an ER or chaperone keyword. Cannot reclassify from description text alone without domain knowledge. Keep as unclear."
NM_026614,Ndufa5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,2.214874049382027,0.0287159670621819,0.48818278534369,-0.0149075746913,C,(keep unclear),"""NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5"" — mitochondrial Complex I subunit. No subclass keyword matching ER/membrane/secretory pathway."
NM_025382,Tmem57,macoilin,2.210481576548737,0.0289817741017092,0.489617135326778,-0.43200425469,B,is_membrane_or_transmembrane,"""macoilin"" — common name for a multi-pass transmembrane protein, but ""macoilin"" contains no membrane keyword. Gene symbol Tmem57 starts with ""Tmem"" (transmembrane), but our sym patterns only match ^slc, ^lrp, ^adam. Suggestive from gene symbol prefix; keep as unclear unless Tmem prefix is added to membrane sym patterns."
NM_177389,Mia3,melanoma inhibitory activity protein 3 precursor,2.18623802188695,0.0296620069560154,0.840634456841238,-0.104672317782,B,is_Golgi_or_trafficking,"""melanoma inhibitory activity protein 3 precursor"" — MIA3/TANGO1 mediates collagen export from ER to Golgi; description gives no trafficking keyword. Keep as unclear without external reference."
NM_053262,Hsd17b11,estradiol 17-beta-dehydrogenase 11,2.177878518398277,0.0309928958332411,0.838506966340229,-0.207879617573,C,(keep unclear),"""estradiol 17-beta-dehydrogenase 11"" — ER-resident lipid-metabolizing enzyme, but ""dehydrogenase"" is not in our keyword list. No matching keyword."
NM_011479,Sptlc2,serine palmitoyltransferase 2,2.15323642302975,0.0323131534851468,0.568933266317062,-0.335802319773,C,(keep unclear),"""serine palmitoyltransferase 2"" — ER-membrane enzyme for sphingolipid biosynthesis; ""palmitoyltransferase"" does not match our keywords. No matching keyword in description."
NM_011149,Ppib,peptidyl-prolyl cis-trans isomerase B precursor,2.0297147525468566,0.0424599811881367,0.584776916170851,-0.473335478329,B,is_ER_or_protein_folding,"""peptidyl-prolyl cis-trans isomerase B precursor"" — cyclophilin B, an ER-resident peptidyl-prolyl isomerase involved in protein folding. ""isomerase"" is not in our keyword list; ""folding"" is present but not in description text. Keep as unclear; ""isomerase"" could be added as keyword."
NM_008255,Hmgcr,3-hydroxy-3-methylglutaryl-coenzyme A reductase,1.99874841579602,0.0440583399481232,0.420757440641198,-0.311106584443,C,(keep unclear),"""3-hydroxy-3-methylglutaryl-coenzyme A reductase"" — HMG-CoA reductase, ER membrane enzyme for cholesterol biosynthesis. ""reductase"" does not match our ""oxidoreductase"" keyword. No matching keyword in description."
NM_026210,Fam18b,protein FAM18B1,1.9849904420917168,0.0450799450564029,1.04629294715167,-0.448330620785,C,(keep unclear),"""protein FAM18B1"" — uninformative description. Cannot assign subclass from description alone."
NM_178736,Elmod2,ELMO domain-containing protein 2,1.9640174621369733,0.0497843406844549,0.7029847233062,-0.00416536582895,C,(keep unclear),"""ELMO domain-containing protein 2"" — ELMO domain is involved in Arf GTPase regulation and ciliogenesis; no direct subclass keyword."
NM_133718,Tmem30a,cell cycle control protein 50A,1.9587652139790432,0.0495220744849584,1.18081353289414,0.205549214242,B,is_membrane_or_transmembrane,"""cell cycle control protein 50A"" — alternative name for TMEM30A/CDC50A, a transmembrane subunit of P4-ATPase flippase. ""cell cycle control"" description contains no membrane keyword. Gene symbol starts with Tmem. Suggestive from gene symbol; keep as unclear."
NM_001039089,Sel1l,protein sel-1 homolog 1 isoform a,1.958496280973644,0.049403262930768,0.448968377771856,0.0698296064979,B,is_ER_or_protein_folding,"""protein sel-1 homolog 1 isoform a"" — SEL1L is a key ER-associated degradation (ERAD) adaptor protein. Description gives no ER/folding keyword. Cannot reclassify from description text alone; keep as unclear."
NM_026009,Ccdc47,coiled-coil domain-containing protein 47 precursor,1.94814273996534,0.0497843406844549,0.54656558983839,-0.386355952781,B,is_ER_or_protein_folding,"""coiled-coil domain-containing protein 47 precursor"" — CCDC47 is an ER transmembrane protein; ""coiled-coil"" and ""precursor"" do not match ER or membrane keywords. Keep as unclear."
