Accession,binding_site_count,n_sites_detected_2plus_libraries,n_sites_detected_3_libraries,max_detected_libraries,mean_detected_libraries,depth_max_35L33G,depth_mean_35L33G,depth_max_2J3,depth_mean_2J3,depth_max_polyclonal,depth_mean_polyclonal,entropy_max_35L33G,entropy_mean_35L33G,entropy_max_2J3,entropy_mean_2J3,entropy_max_polyclonal,entropy_mean_polyclonal,has_binding_site
NM_001001181,7,5,2,3,2.0,214.0,119.66666666666667,245.0,116.25,182.0,59.285714285714285,1.29267988881,1.1578141699566666,1.21748033207,0.98032035338375,1.23264021955,0.8999907798671428,True
NM_001001182,7,4,1,3,1.7142857142857142,26.0,23.5,33.0,22.2,35.0,27.0,1.03824001857,1.018590272685,1.06334850861,0.790865292014,1.17245621162,0.8643930492396,True
NM_001001295,1,0,0,1,1.0,26.0,26.0,,,,,1.00176806543,1.00176806543,,,,,True
NM_001001446,1,0,0,1,1.0,18.0,18.0,,,,,1.08930967896,1.08930967896,,,,,True
NM_001001493,1,0,0,1,1.0,,,39.0,39.0,,,,,1.03774752026,1.03774752026,,,True
NM_001001565,5,2,0,2,1.4,56.0,36.0,11.0,9.5,24.0,15.0,0.900256051269,0.885089217302,0.934769897858,0.8139585392090001,1.06085694716,0.8333966324976666,True
NM_001001892,6,1,0,2,1.1666666666666667,34.0,24.666666666666668,27.0,27.0,83.0,56.333333333333336,1.09861228867,0.9380271988493334,0.99502699018,0.99502699018,1.00306528816,0.8376850368763332,True
NM_001001932,12,5,3,3,1.6666666666666667,105.0,51.833333333333336,139.0,50.375,107.0,51.666666666666664,1.12081732608,0.9826856566350001,1.32900132972,0.97761394011125,1.17643133617,0.8126901769876667,True
NM_001001983,5,3,1,3,1.8,19.0,12.8,13.0,11.0,30.0,19.5,1.05510161817,0.8272161263575999,0.99502699018,0.806134379955,0.99502699018,0.9726487647065,True
NM_001001984,19,12,9,3,2.1052631578947367,81.0,36.4,89.0,40.357142857142854,58.0,35.36363636363637,1.04887201343,0.8740906591093334,1.30539599466,0.8695840864092143,0.992666451429,0.7451621558368182,True
NM_001002004,77,55,35,3,2.168831168831169,2653.0,203.44230769230768,3045.0,195.22641509433961,3100.0,179.48387096774192,1.40828800781,0.9178398809572692,1.34382224342,0.8975476135437169,1.42489364106,0.8555142673690644,True
NM_001002011,4,2,2,3,2.0,42.0,22.666666666666668,34.0,25.333333333333332,23.0,16.5,1.09283055353,1.0110919191103334,0.998579331587,0.85664514816,0.977230046066,0.9375878854615,True
NM_001002268,8,6,2,3,2.0,39.0,21.6,110.0,41.2,85.0,36.833333333333336,1.23527217042,0.8471070439234001,1.06708951878,0.7654210986922,1.34481751224,1.0211294304408334,True
NM_001002897,1,0,0,1,1.0,,,,,15.0,15.0,,,,,0.970115783987,0.970115783987,True
NM_001002929,16,10,7,3,2.0625,184.0,67.08333333333333,223.0,74.0909090909091,283.0,76.6,1.14483355458,0.90761786095825,1.45571142577,0.9007859153942728,1.38202190691,0.8552560592144,True
NM_001003815,4,1,1,3,1.5,422.0,422.0,632.0,319.5,675.0,250.33333333333334,1.22346613787,1.22346613787,1.30195008565,1.190471146765,1.27811714743,1.0654940026593334,True
