Accession,Gene Symbol,Description,mean_CLIP_enrichment,CLIP-seq FDR,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),candidate_group,binding_site_count,n_sites_detected_2plus_libraries,n_sites_detected_3_libraries,max_detected_libraries,mean_detected_libraries,depth_max_35L33G,depth_mean_35L33G,depth_max_2J3,depth_mean_2J3,depth_max_polyclonal,depth_mean_polyclonal,entropy_max_35L33G,entropy_mean_35L33G,entropy_max_2J3,entropy_mean_2J3,entropy_max_polyclonal,entropy_mean_polyclonal,has_binding_site
NM_144953,1700019D03Rik,UPF0733 protein C2orf88 homolog,0.07194417520324968,0.979501630275217,1.74491455612495,-0.586121196585,Not_candidate,3,1.0,0.0,2.0,1.3333333333333333,62.0,62.0,61.0,51.0,137.0,137.0,0.571417022652,0.571417022652,1.02852717917,0.9752781896545,0.872712576096,0.872712576096,True
NM_023065,Ifi30,gamma-interferon-inducible lysosomal thiol reductase,-0.09321583224887843,0.999999999990223,1.45327888932791,-0.687506316603,Not_candidate,8,5.0,2.0,3.0,1.875,65.0,35.6,112.0,42.333333333333336,136.0,53.0,1.03860883522,0.8801027025648,1.09861228867,0.8983777518568333,1.06964634683,0.7382407705765,True
NM_001039368,Polr2k,"DNA-directed RNA polymerases I, II, and III subunit RPABC4 isoform a",,,1.38830554082163,-0.194418709757,Not_candidate,6,4.0,0.0,2.0,1.6666666666666667,126.0,79.75,80.0,72.0,138.0,113.0,1.00569179524,0.7572085559205,1.05834536859,0.973703276832,0.822828608801,0.6417961140866667,True
NM_173734,Tmem87a,transmembrane protein 87A isoform 1,1.977585181673217,0.0455018846325538,1.38618149224159,-0.483800596099,A_and_B_overlap,0,,,,,,,,,,,,,,,,,False
NM_010685,Lamp2,lysosome-associated membrane glycoprotein 2 isoform 2 precursor,1.96965631505841,0.0464761711688645,1.38196731777736,-0.19718458586,A_and_B_overlap,16,8.0,7.0,3.0,1.9375,1628.0,207.27272727272728,1837.0,220.9090909090909,2294.0,318.44444444444446,1.18583383463,0.8553150324876363,1.24498090888,0.9405401175781818,1.23367249861,0.8485845034025555,True
NM_175036,Leprot,leptin receptor gene-related protein,0.6684997718469523,0.565839180821715,1.3805705241858,-0.0570713369966,Not_candidate,12,9.0,5.0,3.0,2.1666666666666665,221.0,68.875,193.0,75.0,251.0,78.0,1.03536056068,0.77116412470825,1.286333279,0.93533502468075,1.36276213807,0.8757769731339999,True
NM_028339,Tmx1,thioredoxin-related transmembrane protein 1 precursor,2.756122047339923,0.0105161848221181,1.37309461100026,-0.370152881681,A_and_B_overlap,0,,,,,,,,,,,,,,,,,False
NM_025514,Anapc16,anaphase-promoting complex subunit 16,-0.30256187503213233,0.999999999990223,1.33763569591814,-0.803985040383,Not_candidate,3,3.0,2.0,3.0,2.6666666666666665,75.0,57.0,38.0,28.0,69.0,37.5,1.19791103638,0.9358368672530001,1.07593940112,0.8339823822346667,0.971458188717,0.803986178506,True
NM_028076,Tmub2,transmembrane and ubiquitin-like domain-containing protein 2,-1.09534644987135,0.999999999990223,1.31114062567633,-0.291772229833,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_133352,Tm9sf3,transmembrane 9 superfamily member 3 precursor,2.0533331626110596,0.040072043063393,1.27741515718003,-0.558949660896,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_011491,Stc2,stanniocalcin-2 precursor,1.6287291892305766,0.10792210963486,1.24812316049653,-0.197022186507,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_027181,Pin4,peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,,,1.22861148626706,-0.342060245748,Not_candidate,4,2.0,2.0,3.0,2.0,309.0,157.0,281.0,149.66666666666666,172.0,168.5,1.23344897733,0.9891496088453332,1.08036049962,1.02794694074,1.17473895925,1.0269406447035,True
NM_025334,Txndc12,thioredoxin domain-containing protein 12 precursor,0.6674209203244627,0.563637146599787,1.22444997327461,-0.369591666618,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_019709,Mbtps1,membrane-bound transcription factor site-1 protease precursor,1.2358150790828832,0.243054570325663,1.21600099203145,0.159126896083,Not_candidate,53,34.0,21.0,3.0,2.0377358490566038,829.0,127.07894736842105,770.0,144.09677419354838,859.0,134.48717948717947,1.32011516623,0.8832105417361317,1.3831744054,0.8690906071741291,1.37137923978,0.9162959010786665,True
NM_019734,Asah1,acid ceramidase precursor,1.538381345275117,0.138787624594978,1.20822733381304,-0.62151262848,Not_candidate,22,18.0,11.0,3.0,2.3181818181818183,474.0,119.29411764705883,485.0,113.88888888888889,543.0,113.0625,1.07467165386,0.8025116879257647,1.3110003456,0.897984427315611,1.18541166044,0.8102247274245624,True
NM_028634,Cby1,protein chibby homolog 1,-1.5619134193462465,0.999999999990223,1.19527216868352,-0.809285498181,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_025436,Sc4mol,methylsterol monooxygenase 1,1.11516085246392,0.302356250192643,1.18987997296788,-0.785914320384,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_027366,Ly6g6e,lymphocyte antigen 6 complex G6E precursor,-0.058903816137196835,0.999999999990223,1.18635091249825,0.70904105907,Not_candidate,2,1.0,0.0,2.0,1.5,31.0,31.0,42.0,25.5,,,0.930345229978,0.930345229978,0.936888307539,0.767578948062,,,True
NM_133718,Tmem30a,cell cycle control protein 50A,1.9587652139790432,0.0495220744849584,1.18081353289414,0.205549214242,A_and_B_overlap,0,,,,,,,,,,,,,,,,,False
NM_146047,Clptm1l,cleft lip and palate transmembrane protein 1-like protein,1.26350320115482,0.231213667627268,1.1632573505932,-0.087263847372,Not_candidate,11,7.0,7.0,3.0,2.272727272727273,635.0,178.0,593.0,161.55555555555554,391.0,132.88888888888889,1.27969358108,1.0415786974197143,1.38103532158,1.0087769262836668,1.22814645094,0.920044305036,True
NM_001110013,Tmtc3,transmembrane and TPR repeat-containing protein 3 isoform 1,2.0626474632139233,0.0386559922092962,1.16203010742078,-0.216743414659,A_and_B_overlap,0,,,,,,,,,,,,,,,,,False
