model,n_obs,R2,predictor,beta,SE,p_value,ci_lo,ci_hi,note
Model1_main,3946,0.2635,const,0.2259,0.0302,0.0,0.1666,0.2851,exploratory only
Model1_main,3946,0.2635,clip,0.2784,0.0079,0.0,0.2628,0.294,exploratory only
Model1_main,3946,0.2635,log1p_bs,-0.16,0.0109,0.0,-0.1814,-0.1386,exploratory only
Model1_main,3946,0.2635,dom_3UTR,0.1543,0.019,0.0,0.117,0.1916,exploratory only
Model1_main,3946,0.2635,dom_5UTR,0.1635,0.1002,0.1027,-0.0329,0.3599,exploratory only
Model1_main,3946,0.2635,dom_tie,0.033,0.0316,0.2961,-0.0289,0.0949,exploratory only
Model1_main,3946,0.2635,er_core,0.164,0.0389,0.0,0.0877,0.2402,exploratory only
Model2_3UTR_x_ercore,3946,0.2636,const,0.2261,0.0302,0.0,0.1669,0.2854,exploratory only
Model2_3UTR_x_ercore,3946,0.2636,clip,0.2782,0.0079,0.0,0.2627,0.2938,exploratory only
Model2_3UTR_x_ercore,3946,0.2636,log1p_bs,-0.1599,0.0109,0.0,-0.1812,-0.1385,exploratory only
Model2_3UTR_x_ercore,3946,0.2636,dom_3UTR,0.1514,0.0195,0.0,0.1132,0.1896,exploratory only
Model2_3UTR_x_ercore,3946,0.2636,dom_5UTR,0.1629,0.1002,0.104,-0.0335,0.3593,exploratory only
Model2_3UTR_x_ercore,3946,0.2636,dom_tie,0.033,0.0316,0.2955,-0.0289,0.0949,exploratory only
Model2_3UTR_x_ercore,3946,0.2636,er_core,0.148,0.0449,0.001,0.06,0.236,exploratory only
Model2_3UTR_x_ercore,3946,0.2636,dom3UTR_x_ercore,0.0633,0.0891,0.4776,-0.1114,0.238,exploratory only
Model1_VIF,3946,,clip,,,,,,VIF=1.33
Model1_VIF,3946,,log1p_bs,,,,,,VIF=1.36
Model1_VIF,3946,,dom_3UTR,,,,,,VIF=1.03
Model1_VIF,3946,,dom_5UTR,,,,,,VIF=1.01
Model1_VIF,3946,,dom_tie,,,,,,VIF=1.05
Model1_VIF,3946,,er_core,,,,,,VIF=1.01
Sensitivity_none_included,5649,0.2327,const,0.1221,0.0277,0.0,0.0678,0.1763,exploratory only
Sensitivity_none_included,5649,0.2327,clip,0.2327,0.0062,0.0,0.2205,0.2448,exploratory only
Sensitivity_none_included,5649,0.2327,log1p_bs,-0.131,0.0102,0.0,-0.151,-0.111,exploratory only
Sensitivity_none_included,5649,0.2327,dom_3UTR,0.1618,0.0194,0.0,0.1237,0.1999,exploratory only
Sensitivity_none_included,5649,0.2327,dom_5UTR,0.1732,0.1024,0.0908,-0.0275,0.374,exploratory only
Sensitivity_none_included,5649,0.2327,dom_tie,0.0384,0.0323,0.2334,-0.0248,0.1017,exploratory only
Sensitivity_none_included,5649,0.2327,dom_none,-0.247,0.028,0.0,-0.3018,-0.1922,exploratory only
Sensitivity_none_included,5649,0.2327,er_core,0.2608,0.0284,0.0,0.2051,0.3165,exploratory only
