Accession,Gene Symbol,Description,candidate_group,high_confidence,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),mean_CLIP_enrichment,CLIP-seq FDR,total_binding_site_count,binding_site_count,dominant_binding_region,5UTR_site_count,CDS_site_count,3UTR_site_count,is_ER_or_protein_folding,is_membrane_or_transmembrane,is_secretory_or_extracellular,is_Golgi_or_trafficking,is_lysosome_or_endosome,is_receptor_or_signaling,is_transporter_or_channel,is_adhesion_or_ECM,is_other_or_unclear,is_adhesion_or_ECM,ER_membrane_core,ER_membrane_broad
NM_144953,1700019D03Rik,UPF0733 protein C2orf88 homolog,Not_candidate,False,1.74491455612495,-0.586121196585,0.0719441752032496,0.979501630275217,3,3,CDS,0,2,1,False,False,False,False,False,False,False,False,True,False,False,False
NM_023065,Ifi30,gamma-interferon-inducible lysosomal thiol reductase,Not_candidate,False,1.45327888932791,-0.687506316603,-0.0932158322488784,0.999999999990223,8,8,CDS,0,8,0,False,False,False,False,True,False,False,False,False,False,False,True
NM_001039368,Polr2k,"DNA-directed RNA polymerases I, II, and III subunit RPABC4 isoform a",Not_candidate,False,1.38830554082163,-0.194418709757,,,6,6,CDS,0,6,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_173734,Tmem87a,transmembrane protein 87A isoform 1,A_and_B_overlap,True,1.38618149224159,-0.483800596099,1.977585181673217,0.0455018846325538,0,0,none,0,0,0,False,True,False,False,False,False,False,False,False,False,True,True
NM_010685,Lamp2,lysosome-associated membrane glycoprotein 2 isoform 2 precursor,A_and_B_overlap,True,1.38196731777736,-0.19718458586,1.96965631505841,0.0464761711688645,16,16,3UTR,1,6,9,False,True,True,False,True,False,False,False,False,False,True,True
NM_175036,Leprot,leptin receptor gene-related protein,Not_candidate,False,1.3805705241858,-0.0570713369966,0.6684997718469523,0.565839180821715,12,12,3UTR,0,3,9,False,False,False,False,False,True,False,False,False,False,False,False
NM_028339,Tmx1,thioredoxin-related transmembrane protein 1 precursor,A_and_B_overlap,True,1.37309461100026,-0.370152881681,2.756122047339923,0.0105161848221181,0,0,none,0,0,0,True,True,False,False,False,False,False,False,False,False,True,True
NM_025514,Anapc16,anaphase-promoting complex subunit 16,Not_candidate,False,1.33763569591814,-0.803985040383,-0.3025618750321323,0.999999999990223,3,3,CDS,0,2,1,False,False,False,False,False,False,False,False,True,False,False,False
NM_028076,Tmub2,transmembrane and ubiquitin-like domain-containing protein 2,Not_candidate,False,1.31114062567633,-0.291772229833,-1.09534644987135,0.999999999990223,0,0,none,0,0,0,False,True,False,False,False,False,False,False,False,False,True,True
NM_133352,Tm9sf3,transmembrane 9 superfamily member 3 precursor,Not_candidate,False,1.27741515718003,-0.558949660896,2.05333316261106,0.040072043063393,0,0,none,0,0,0,False,True,False,False,False,False,False,False,False,False,True,True
NM_011491,Stc2,stanniocalcin-2 precursor,Not_candidate,False,1.24812316049653,-0.197022186507,1.6287291892305766,0.10792210963486,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_027181,Pin4,peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,Not_candidate,False,1.22861148626706,-0.342060245748,,,4,4,CDS,0,4,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_025334,Txndc12,thioredoxin domain-containing protein 12 precursor,Not_candidate,False,1.22444997327461,-0.369591666618,0.6674209203244627,0.563637146599787,0,0,none,0,0,0,True,False,False,False,False,False,False,False,False,False,True,True
NM_019709,Mbtps1,membrane-bound transcription factor site-1 protease precursor,Not_candidate,False,1.21600099203145,0.159126896083,1.2358150790828832,0.243054570325663,53,53,CDS,2,44,7,False,True,False,False,False,False,False,False,False,False,True,True
NM_019734,Asah1,acid ceramidase precursor,Not_candidate,False,1.20822733381304,-0.62151262848,1.538381345275117,0.138787624594978,22,22,CDS,0,13,9,False,False,False,False,False,False,False,False,True,False,False,False
NM_028634,Cby1,protein chibby homolog 1,Not_candidate,False,1.19527216868352,-0.809285498181,-1.5619134193462465,0.999999999990223,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_025436,Sc4mol,methylsterol monooxygenase 1,Not_candidate,False,1.18987997296788,-0.785914320384,1.11516085246392,0.302356250192643,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_027366,Ly6g6e,lymphocyte antigen 6 complex G6E precursor,Not_candidate,False,1.18635091249825,0.70904105907,-0.0589038161371968,0.999999999990223,2,2,3UTR,0,0,2,False,False,False,False,False,False,False,False,True,False,False,False
NM_133718,Tmem30a,cell cycle control protein 50A,A_and_B_overlap,True,1.18081353289414,0.205549214242,1.9587652139790432,0.0495220744849584,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_146047,Clptm1l,cleft lip and palate transmembrane protein 1-like protein,Not_candidate,False,1.1632573505932,-0.087263847372,1.26350320115482,0.231213667627268,11,11,CDS,2,9,0,False,True,False,False,False,False,False,False,False,False,True,True
NM_001110013,Tmtc3,transmembrane and TPR repeat-containing protein 3 isoform 1,A_and_B_overlap,True,1.16203010742078,-0.216743414659,2.062647463213924,0.0386559922092962,0,0,none,0,0,0,False,True,False,False,False,False,False,False,False,False,True,True
NM_007399,Adam10,disintegrin and metalloproteinase domain-containing protein 10 precursor,A_and_B_overlap,True,1.13797161006331,-0.145768676865,2.410265695104564,0.0192040379223456,30,30,CDS,1,19,10,False,False,False,False,False,True,False,True,False,True,False,False
NM_175277,Bola3,bolA-like protein 3,Not_candidate,False,1.13570450915712,-0.458782797684,0.2926698252071296,1.0,1,1,CDS,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False
