proxy,group,denominator,n_total,n_hc,hc_fraction
ER_membrane_core,yes,S5_total,910,16,0.017582417582417582
ER_membrane_core,no,S5_total,15555,32,0.0020572163291546126
ER_membrane_core,yes,S3A_bound,271,11,0.04059040590405904
ER_membrane_core,no,S3A_bound,6166,23,0.0037301329873499836
ER_membrane_broad,yes,S5_total,1606,18,0.0112079701120797
ER_membrane_broad,no,S5_total,14859,30,0.0020189783969311527
ER_membrane_broad,yes,S3A_bound,413,12,0.029055690072639227
ER_membrane_broad,no,S3A_bound,6024,22,0.0036520584329349268
is_receptor_or_signaling,yes,S5_total,1595,8,0.005015673981191223
is_receptor_or_signaling,no,S5_total,14870,40,0.0026899798251513113
is_receptor_or_signaling,yes,S3A_bound,600,8,0.013333333333333334
is_receptor_or_signaling,no,S3A_bound,5837,26,0.004454342984409799
