chrom	position	raw_depth	sample	gene_symbol	rpm_depth
chr14	47884905	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884906	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884907	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884908	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884909	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884910	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884911	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884912	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884913	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884914	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884915	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884916	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884917	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884918	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884919	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884920	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884921	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884922	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884923	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884924	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884925	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884926	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884927	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884928	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884929	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884930	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884931	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884932	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884933	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884934	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884935	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884936	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884937	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884938	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884939	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884940	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884941	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884942	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884943	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884944	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884945	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884946	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884947	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884948	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884949	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884950	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884951	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884952	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884953	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884954	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884955	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884956	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884957	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884958	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884959	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884960	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884961	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884962	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884963	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884964	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884965	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884966	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884967	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884968	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884969	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884970	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884971	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884972	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884973	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884974	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884975	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884976	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884977	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884978	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884979	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884980	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884981	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884982	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884983	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884984	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884985	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884986	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884987	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884988	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884989	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884990	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884991	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884992	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884993	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884994	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884995	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884996	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884997	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884998	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47884999	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885000	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885001	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885002	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885003	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885004	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885005	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885006	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885007	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885008	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885009	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885010	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885011	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885012	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885013	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885014	0.0	CLIP_35L33G	Ktn1	0.0
chr14	47885015	0.0	CLIP_35L33G	Ktn1	0.0
