name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,name2,five_utr_len,cds_len,three_utr_len,total_exonic_len,is_ncrna
NR_001461,chr7,-,150399015,150482452,150482452,150482452,Kcnq1ot1,0,0,83437,83437,True
NM_001199136,chr4,-,123026875,123361603,123028131,123361432,Macf1,171,22068,1256,23495,False
NM_134448,chr1,+,34068439,34365501,34068669,34364437,Dst,230,22182,1064,23476,False
NM_010889,chr2,-,51992166,52194318,51992777,52190001,Neb,419,21459,611,22489,False
NM_001033276,chr15,-,98662099,98701636,98664930,98697151,Kmt2d,229,16767,2831,19827,False
NM_054053,chr13,-,81234066,81772143,81234381,81772027,Adgrv1,116,18897,315,19328,False
NM_009643,chr19,+,9063773,9093686,9074589,9092814,Ahnak,257,16971,872,18100,False
NM_001081392,chr4,+,32744093,32862192,32744225,32861114,Mdn1,132,16749,1078,17959,False
NM_015794,chr17,-,63395300,63849929,63409619,63849366,Fbxl17,563,2106,14319,16988,False
NM_001081383,chr5,-,24777612,25004601,24779483,25004368,Kmt2c,233,14715,1871,16819,False
NM_172679,chr3,+,36762027,36951955,36768949,36951462,4932438A13Rik,372,15018,493,15883,False
NM_175473,chr5,+,96802973,97213747,96803831,97210790,Fras1,858,12033,2957,15848,False
NM_007566,chr17,+,74927634,75102696,74927807,75101723,Birc6,173,14622,973,15768,False
NM_178665,chr16,+,24393435,24992664,24608210,24979407,Lpp,550,1842,13257,15649,False
NM_001163540,chr15,-,76001403,76036751,76002599,76036568,Plec,183,14076,1196,15455,False
NM_177357,chr16,-,33969158,34514113,33975601,34514066,Kalrn,47,8949,6443,15439,False
NM_001081088,chr2,-,69262391,69424086,69263701,69423950,Lrp2,136,13983,1310,15429,False
NM_010418,chr7,+,63305524,63487168,63306246,63486502,Herc2,169,14511,666,15346,False
NM_207215,chr14,-,103512627,103746017,103513336,103745734,Mycbp2,283,14241,709,15233,False
NM_145617,chr9,+,66198256,66356582,66219618,66356131,Herc1,198,14580,451,15229,False
NM_008512,chr10,-,126975213,127058204,126976005,127057743,Lrp1,461,13638,792,14891,False
NM_001081286,chr8,+,46035561,46137611,46035567,46136763,Fat1,6,13773,848,14627,False
NM_021523,chrX,+,148237824,148369961,148269790,148368926,Huwe1,453,13137,1035,14625,False
NM_001081336,chr14,-,78959156,79132536,78969911,79132224,Dgkh,312,3543,10755,14610,False
NM_013811,chr17,+,30763880,31012209,30772310,31012074,Dnah8,252,14196,135,14583,False
NM_001029988,chr11,-,55064111,55125759,55065467,55125748,Fat2,11,13056,1356,14423,False
NM_030238,chr12,+,111839604,111905154,111839814,111904901,Dync1h1,210,13935,253,14398,False
NM_008305,chr4,+,137024717,137126545,137024776,137125579,Hspg2,59,13152,966,14177,False
NM_013630,chr17,+,24686894,24733459,24687207,24732484,Pkd1,313,12882,975,14170,False
NM_010587,chr16,+,91729615,91920824,91782437,91912254,Itsn1,261,5145,8570,13976,False
NM_029851,chr9,-,6928550,7177058,6929464,7176957,Dync2h1,101,12921,914,13936,False
NM_013720,chr2,+,119722963,119795317,119728408,119790701,Mga,186,9129,4616,13931,False
NM_007868,chrX,+,80194208,82450389,80194455,82447821,Dmd,247,11037,2568,13852,False
NM_001114609,chr1,-,63094374,63160841,63104556,63140076,Ino80d,281,3066,10182,13529,False
NM_133957,chr8,+,109817369,109903417,109862737,109894553,Nfat5,700,4377,8366,13443,False
NM_001039184,chr1,-,157692093,157820385,157695692,157809677,Cep350,420,9288,3599,13307,False
NM_010414,chr5,+,35104388,35255183,35104555,35251494,Htt,167,9363,3689,13219,False
NM_011858,chr7,+,103359146,104059602,103585358,104055101,Tenm4,279,8391,4501,13171,False
NM_198298,chr11,+,107409246,107555140,107436269,107548033,Helz,123,5898,7107,13128,False
NM_198934,chr1,-,167795284,167865079,167805868,167864962,Pou2f1,117,2349,10584,13050,False
NM_001163610,chrX,+,99044723,99287394,99044906,99278266,Nhsl2,183,3660,9128,12971,False
NM_009986,chr5,-,136742279,137043360,136750660,137043110,Cux1,250,4281,8381,12912,False
NM_029617,chr2,+,118872854,118936233,118883032,118929813,Knl1,121,6360,6420,12901,False
NM_175238,chr2,+,51928356,51982288,51928669,51976723,Rif1,43,7281,5565,12889,False
NM_207659,chr8,-,27131892,27229696,27142361,27229486,Hook3,210,2157,10469,12836,False
NM_001081477,chrX,-,105931183,106029685,105938354,106029468,Brwd3,217,5400,7171,12788,False
NM_008739,chr13,+,55311142,55419686,55314581,55415089,Nsd1,111,8076,4597,12784,False
NM_173437,chr1,-,137331156,137481932,137338260,137481897,Nav1,35,5628,7104,12767,False
NM_021458,chr14,-,65811277,65881300,65821555,65871969,Fzd3,463,2001,10278,12742,False
NM_011159,chr16,+,15637958,15842332,15637981,15842068,Prkdc,23,12387,264,12674,False
NM_001029889,chr16,+,44173509,44227578,44200744,44221937,Usf3,299,6666,5641,12606,False
NM_029332,chr7,+,82600419,82899495,82679704,82895509,Akap13,226,8331,3986,12543,False
NM_181348,chr19,+,17030607,17298422,17030746,17295304,Prune2,139,9255,3118,12512,False
NM_172870,chr4,-,83912710,84321307,83921690,84320881,Bnc2,426,3099,8980,12505,False
NM_011931,chr1,+,161162330,161285003,161162568,161274969,Cop1,238,2202,10034,12474,False
NM_007462,chr18,+,34380637,34481844,34420676,34478235,Apc,311,8529,3609,12449,False
NM_172862,chr3,-,53317859,53461277,53320453,53461006,Frem2,271,9483,2594,12348,False
NM_010135,chr1,-,183826515,183950111,183835990,183949665,Enah,446,2415,9475,12336,False
NM_144848,chr15,-,75931917,75950625,75932732,75943109,Eppk1,1133,10377,815,12325,False
NM_009622,chr11,+,6963435,7078508,6963602,7069718,Adcy1,167,3357,8790,12314,False
NM_001081371,chr18,+,49992650,50125127,49992743,50122051,Dmxl1,93,9042,3076,12211,False
NM_018814,chr12,+,82961016,83101911,82961358,83097149,Pcnx,342,7035,4762,12139,False
NM_173444,chr1,+,60237442,60391549,60238547,60387836,Nbeal1,328,8067,3713,12108,False
NM_194462,chr5,+,3928185,4080204,3928442,4079696,Akap9,257,11340,508,12105,False
NM_010243,chr4,-,25536479,25727150,25546879,25547959,Fut9,510,1080,10400,11990,False
NM_010513,chr7,+,75097142,75378553,75097744,75371287,Igf1r,602,4110,7266,11978,False
NM_173018,chr9,+,59598980,59776673,59627420,59772838,Myo9a,243,7896,3835,11974,False
NM_001195633,chr18,+,78135204,78234060,78135238,78229846,Epg5,34,7719,4214,11967,False
NM_007499,chr9,-,53245226,53344776,53247850,53342041,Atm,139,9192,2624,11955,False
NM_008634,chr13,-,100191418,100286557,100195760,100286442,Map1b,115,7395,4342,11852,False
NM_010897,chr11,+,79153393,79395111,79153501,79391898,Nf1,108,8526,3213,11847,False
NM_145990,chr4,-,69877888,70071469,69884091,70071301,Cdk5rap2,168,5469,6203,11840,False
NM_032393,chr2,+,121115337,121136568,121115370,121133823,Map1a,33,9045,2745,11823,False
NM_080437,chr9,+,108728375,108755300,108728650,108753659,Celsr3,275,9906,1641,11822,False
NM_010748,chr13,+,13682675,13869707,13708820,13869446,Lyst,181,11364,261,11806,False
NM_176850,chr11,-,106894394,106993461,106897116,106993236,Bptf,225,8766,2722,11713,False
NM_011261,chr5,-,21390271,21850523,21391290,21850226,Reln,297,10382,1019,11698,False
NM_010864,chr9,+,74919012,75071494,74919439,75065800,Myo5a,427,5562,5694,11683,False
NM_009873,chr5,+,3343892,3531005,3344366,3520791,Cdk6,327,981,10214,11522,False
NM_177224,chr8,+,93352733,93578407,93456312,93575871,Chd9,371,8610,2536,11517,False
NR_003633,chr12,+,110783607,110806860,110806860,110806860,Meg3,0,0,11472,11472,True
NM_028194,chr5,-,73411429,73647857,73413277,73539375,Fryl,598,9024,1848,11470,False
NM_001081171,chr2,-,179911077,179960564,179911251,179960507,Lama5,57,11157,174,11388,False
NM_001085355,chr17,+,4995073,5347656,4995094,5343087,Arid1b,21,6735,4569,11325,False
NM_175272,chr7,+,56501558,56865458,56502310,56862191,Nav2,752,7299,3267,11318,False
NM_177698,chr8,-,70212980,70498473,70220870,70498062,Psd3,411,3015,7890,11316,False
NM_138679,chr3,+,88769733,88883297,88769833,88881004,Ash1l,100,8877,2293,11270,False
NM_011086,chr1,+,65233258,65325270,65236901,65320332,Pikfyve,158,6159,4938,11255,False
NM_001081001,chr5,+,151325195,151372721,151325787,151372086,Brca2,508,9990,635,11133,False
NM_001081363,chr1,-,191464492,191511965,191466477,191508985,Cenpf,143,8994,1985,11122,False
NM_194061,chr6,-,38073173,38204139,38078320,38204009,D630045J12Rik,130,5823,5147,11100,False
NM_007561,chr1,+,59821122,59934925,59821496,59927329,Bmpr2,374,3117,7596,11087,False
NM_153421,chr3,-,30798216,30868337,30806257,30864835,Phc3,79,2946,8041,11066,False
NM_029525,chr1,+,10983545,11293763,10983873,11287834,Prex2,328,4797,5929,11054,False
NM_009886,chr15,-,85729187,85864207,85731125,85864200,Celsr1,7,9105,1938,11050,False
NM_008882,chr1,+,196446022,196643062,196469953,196638355,Plxna2,643,5685,4707,11035,False
NM_030035,chr16,+,36885096,36933171,36886221,36932043,Golgb1,180,9717,1128,11025,False
NM_013668,chrX,+,148667769,148713642,148668103,148707617,Kdm5c,334,4656,6025,11015,False
NM_001024952,chr1,+,162836541,162905107,162860244,162897928,Rc3h1,439,3393,7179,11011,False
NM_030595,chr3,-,55429119,55987623,55430825,55987157,Nbea,466,8811,1706,10983,False
NM_172924,chr9,-,56048935,56265857,56054254,56108449,Peak1,452,5208,5319,10979,False
NM_011857,chr8,-,49311018,49760044,49313799,49759995,Tenm3,49,8148,2781,10978,False
NM_145997,chr6,+,120314116,120394592,120314631,120389211,Kdm5a,515,5073,5381,10969,False
NM_010142,chr4,-,136203455,136391927,136211236,136391745,Ephb2,182,2961,7781,10924,False
NM_199009,chr7,-,112519724,112548568,112527284,112538672,Fam160a2,365,2928,7560,10853,False
NM_029337,chr5,-,111093391,111199736,111094820,111185750,Ep400,261,9108,1429,10798,False
NM_011946,chr18,+,32322742,32396405,32351620,32388002,Map3k2,528,1860,8403,10791,False
NM_172887,chr5,+,151062504,151300328,151062843,151299000,Fry,339,9063,1328,10730,False
NM_001081216,chr9,-,82759765,82869096,82764830,82868898,Phip,198,5466,5065,10729,False
NM_009595,chr1,+,158488917,158579750,158489179,158572847,Abl2,262,3549,6903,10714,False
NM_001159634,chr2,+,32006667,32090057,32038031,32086262,Prrc2b,198,6693,3795,10686,False
NM_153409,chr2,+,65683823,65869603,65716096,65861080,Csrnp3,355,1794,8523,10672,False
NM_175171,chr13,-,103522568,104124572,103525081,104124272,Mast4,300,7857,2513,10670,False
NM_007397,chr9,+,119311295,119351266,119311663,119342579,Acvr2b,368,1611,8687,10666,False
NM_011264,chr10,+,39451965,39595011,39452280,39594030,Rev3l,315,9369,981,10665,False
NM_017392,chr3,-,108193765,108218497,108195548,108218412,Celsr2,85,8760,1783,10628,False
NM_001174107,chr12,-,82815936,82882157,82823025,82881861,Map3k9,296,3234,7089,10619,False
NM_172771,chr9,-,54212964,54349433,54214224,54349244,Dmxl2,189,9165,1260,10614,False
NM_001163314,chr1,-,54529843,54614528,54537549,54614424,Pgap1,104,2769,7706,10579,False
NM_173368,chr2,-,160772713,160934822,160775035,160885687,Chd6,121,8136,2322,10579,False
NM_010788,chrX,-,71271930,71331029,71280755,71325273,Mecp2,279,1455,8825,10559,False
NM_194340,chr5,-,33131855,33196879,33136180,33187163,Prr14l,305,5916,4325,10546,False
NM_001080931,chr11,-,86080534,86171098,86084487,86171027,Med13,71,6516,3953,10540,False
NM_001081422,chr5,-,42178778,42235554,42180070,42235407,Bod1l,147,9099,1292,10538,False
NM_174848,chr16,-,59491913,59600873,59493422,59600719,Crybg3,154,8859,1509,10522,False
NM_010928,chr3,+,97817460,97954290,97817621,97951367,Notch2,161,7422,2923,10506,False
NM_027144,chr9,-,42771924,42913801,42777264,42913293,Arhgef12,508,4635,5340,10483,False
NM_010181,chr18,-,58168276,58369580,58169911,58369459,Fbn2,121,8724,1635,10480,False
NM_001162906,chr15,+,8119105,8221158,8121740,8220855,Cplane1,521,9645,303,10469,False
NM_001081290,chr1,-,164601915,164670687,164603532,164654946,Prrc2c,286,8541,1617,10444,False
NM_010680,chr18,+,12492442,12741521,12492532,12741172,Lama3,90,9993,349,10432,False
NM_001024205,chr11,+,77499640,77531468,77499729,77523237,Nufip2,89,2079,8231,10399,False
NM_177780,chr14,-,68369984,68551629,68374474,68551391,Dock5,238,5607,4490,10335,False
NM_011169,chr15,+,10106992,10266775,10243973,10259022,Prlr,748,1827,7753,10328,False
NM_133249,chr18,-,61451098,61560066,61458336,61560021,Ppargc1b,45,3045,7238,10328,False
NM_013454,chr4,-,53043660,53172767,53046814,53156867,Abca1,320,6786,3154,10260,False
NM_001081116,chr7,-,108018259,108080675,108021913,108080253,Arhgef17,422,6174,3654,10250,False
NM_177855,chr3,+,58810899,59122334,58810923,59118671,Med12l,24,6558,3663,10245,False
NM_009530,chrX,-,102992955,103124711,102995513,103124458,Atrx,253,7431,2558,10242,False
NM_027707,chr15,-,8239823,8394463,8241224,8324023,Nipbl,418,8397,1401,10216,False
NM_146009,chr10,+,99950215,100038305,99950940,100035741,Cep290,199,7440,2564,10203,False
NM_029654,chr12,-,106851748,106923451,106855282,106923040,Atg2b,411,6228,3534,10173,False
NM_033565,chr11,+,53164268,53235332,53182165,53229017,Aff4,367,3483,6315,10165,False
NM_144860,chr18,+,10725622,10818576,10726302,10812123,Mib1,680,3021,6453,10154,False
NM_001081191,chr12,-,100024813,100139694,100028559,100139238,Eml5,456,5934,3746,10136,False
NM_207682,chr4,-,148550429,148681807,148554876,148665516,Kif1b,339,5313,4447,10099,False
NM_001162884,chr3,-,59120656,59148178,59122387,59145254,Igsf10,568,7785,1731,10084,False
NM_001081117,chr7,-,142881470,142908062,142881771,142907822,Mki67,240,9534,301,10075,False
NM_030886,chr5,-,90656190,90795211,90658306,90795073,Ankrd17,138,7812,2116,10066,False
NM_177644,chr1,-,159065313,159342726,159070841,159342069,Rasal2,657,3861,5528,10046,False
NM_001160400,chr7,+,26102182,26150936,26102525,26149609,Megf8,343,8370,1327,10040,False
NM_001195632,chr9,+,31923572,32072350,31923720,32068733,Arhgap32,148,6270,3617,10035,False
NM_146005,chr10,+,68996455,69490184,68996969,69478381,Ank3,514,5886,3625,10025,False
NM_145223,chr6,+,85537524,85652745,85537639,85652632,Alms1,115,9756,113,9984,False
NM_007988,chr11,-,120667271,120685861,120669167,120684157,Fasn,527,7515,1896,9938,False
NM_001081061,chr13,-,100787948,100874025,100790233,100873793,Bdp1,232,7404,2285,9921,False
NM_030695,chr3,+,86028611,86586616,86029210,86585583,Lrba,285,8565,1033,9883,False
NM_010585,chr6,+,108163089,108501110,108186987,108499833,Itpr1,350,8250,1277,9877,False
NM_009791,chr1,+,141351349,141390665,141351508,141390327,Aspm,159,9369,338,9866,False
NM_148948,chr12,-,105925951,105990162,105929802,105970123,Dicer1,279,5721,3851,9851,False
NM_177192,chr6,-,148936590,149050202,148942227,149049831,Dennd5b,371,3825,5637,9833,False
NR_028359,chr3,+,88580978,88633293,88633293,88633293,5830417I10Rik,0,0,9833,9833,True
NM_010576,chr2,+,79095582,79173271,79095816,79166772,Itga4,234,3099,6499,9832,False
NM_007715,chr5,-,76638892,76733573,76645723,76695871,Clock,388,2568,6831,9787,False
NM_182716,chr1,-,134461266,134638374,134466996,134539345,Nfasc,326,3723,5730,9779,False
NM_197990,chr1,-,153731653,153937450,153740523,153853768,1700025G04Rik,518,366,8870,9754,False
NM_007872,chr12,+,3806979,3914443,3835197,3907747,Dnmt3a,312,2727,6696,9735,False
NM_139294,chr6,-,39553236,39675462,39560380,39675294,Braf,168,2415,7144,9727,False
NM_001081453,chr12,-,71112421,71203841,71115733,71203820,Nin,21,6342,3312,9675,False
NM_009753,chr6,+,149357505,149511848,149357950,149498919,Bicd1,445,2508,6711,9664,False
NM_013584,chr15,+,7090541,7147489,7104408,7141169,Lifr,64,3279,6320,9663,False
NM_007579,chr2,-,24459408,24618672,24462089,24618567,Cacna1b,105,6867,2681,9653,False
NM_153794,chr18,-,68419838,68459987,68428372,68435891,Fam210a,297,822,8534,9653,False
NM_001081326,chr3,-,116442916,116511084,116447735,116510267,Agl,207,4599,4819,9625,False
NM_173441,chr18,+,32227387,32263985,32227659,32256935,Iws1,272,2301,7050,9623,False
NM_001033348,chr2,-,146067034,146337740,146073939,146337635,Ralgapa2,105,5733,3772,9610,False
NM_023842,chr13,+,38243162,38290446,38243457,38289801,Dsp,295,8652,645,9592,False
NM_178119,chr1,+,91351385,91791857,91352004,91785469,Agap1,619,2574,6388,9581,False
NM_181595,chr6,+,4853310,5115661,4855446,5109752,Ppp1r9a,359,3288,5909,9556,False
NM_001033430,chr6,-,39086618,39156772,39093209,39156633,Kdm7a,139,2823,6591,9553,False
NM_177129,chr1,-,134406001,134439517,134412110,134430309,Cntn2,303,3123,6109,9535,False
NM_008787,chr10,-,75813998,75905657,75814483,75905363,Pcnt,294,8751,485,9530,False
NM_008480,chr17,+,68046604,68171985,68046674,68171789,Lama1,70,9252,196,9518,False
NM_019588,chr19,+,38598686,38859590,38598748,38855238,Plce1,62,6849,2598,9509,False
NM_028234,chr5,+,28643728,28745782,28643907,28740156,Rbm33,179,3696,5626,9501,False
NM_008714,chr2,-,26313421,26359342,26315050,26359078,Notch1,264,7596,1629,9489,False
NM_001081376,chr4,+,151712759,151764303,151713060,151760065,Chd5,301,5859,3326,9486,False
NM_011240,chr10,+,57909599,57956902,57909727,57956716,Ranbp2,128,9162,186,9476,False
NM_001166581,chr5,+,104937368,104983226,104946632,104951402,Thoc2l,413,4770,4262,9445,False
NM_001164503,chr14,-,78892052,78936667,78895582,78922457,Akap11,201,5685,3530,9416,False
NM_029758,chr12,+,12268982,12387771,12347494,12379616,Cyria,287,972,8155,9414,False
NM_026171,chr1,-,183017268,183074335,183023995,183074238,Nvl,97,2568,6727,9392,False
NM_176841,chr11,+,29273657,29410808,29274347,29407189,Ccdc88a,690,5538,3148,9376,False
NM_008514,chr6,-,134396495,134516931,134400803,134516715,Lrp6,216,4842,4308,9366,False
NM_010568,chr8,-,3150921,3279617,3155668,3279128,Insr,489,4119,4747,9355,False
NM_030730,chr9,-,106590410,106691544,106595046,106656417,Rad54l2,286,4404,4636,9326,False
NM_001128151,chr6,+,120616331,120721209,120616599,120716435,Cecr2,268,4278,4774,9320,False
NM_030168,chr15,+,6658380,6750400,6658402,6746236,Rictor,22,5127,4164,9313,False
NM_001163024,chr10,-,122429116,122513561,122432725,122513018,Mon2,543,5148,3609,9300,False
NM_172424,chr5,+,119010727,119215446,119010794,119212842,Med13l,67,6624,2604,9295,False
NM_001113209,chr4,-,81936076,82151683,81942585,82150664,Nfib,1019,1713,6509,9241,False
NM_008981,chr14,+,12386066,13074553,12386761,13070387,Ptprg,695,4329,4166,9190,False
NM_011265,chr19,-,27836210,28085656,27842944,27975385,Rfx3,203,2250,6734,9187,False
NM_001081185,chr6,+,29383152,29411889,29383458,29411209,Flnc,306,8181,680,9167,False
NM_007754,chr11,-,76590709,76660510,76595685,76660468,Cpd,42,4134,4976,9152,False
NM_001098225,chr5,-,8072346,8368160,8078685,8367954,Adam22,206,2607,6339,9152,False
NM_001045513,chr1,-,60540028,60623609,60545143,60590250,Raph1,201,3801,5115,9117,False
NM_001039472,chr1,+,138027966,138074578,138028298,138070668,Kif21b,332,4875,3910,9117,False
NM_001081149,chr8,+,23970017,24053731,23972673,24051114,Kat6a,487,6012,2617,9116,False
NM_001110231,chr2,-,6460743,7317825,6468131,6642640,Celf2,226,1473,7388,9087,False
NM_020259,chr8,-,82489749,82581907,82496231,82581414,Hhip,493,2103,6482,9078,False
NM_001081345,chr7,-,80571537,80686632,80574552,80685719,Chd2,572,5484,3015,9071,False
NM_134080,chr14,+,8650470,8784101,8650665,8783006,Flnb,195,7776,1095,9066,False
NM_133360,chr11,+,84008939,84215153,84008965,84213185,Acaca,26,7038,1968,9032,False
NM_175251,chr15,+,96117952,96235894,96118125,96232525,Arid2,173,5487,3369,9029,False
NM_008881,chr6,-,89266307,89312607,89269369,89307639,Plxna1,280,5685,3062,9027,False
NM_001081321,chr5,-,65996959,66089475,66001430,66088136,Pds5a,527,3999,4471,8997,False
NM_001025572,chr17,-,66316840,66426386,66319491,66402380,Ankrd12,214,6126,2651,8991,False
NM_080553,chr17,+,27194248,27259168,27194530,27258473,Itpr3,282,8013,695,8990,False
NM_144788,chr12,-,52844708,52930523,52845507,52928478,Hectd1,356,7833,799,8988,False
NM_201369,chr5,-,151438547,151468187,151445688,151465088,N4bp2l2,112,1728,7141,8981,False
NM_001081097,chr4,+,125167939,125391417,125168074,125385335,Grik3,135,2760,6082,8977,False
NM_001123327,chr2,-,104594949,104656853,104598621,104630352,Qser1,206,5097,3672,8975,False
NM_008569,chr2,-,128435818,128513131,128438683,128511772,Anapc1,267,5835,2865,8967,False
NM_001100591,chr2,-,37225590,37278423,37230752,37270266,Rc3h2,239,3564,5162,8965,False
NM_001081395,chr9,-,14346410,14419444,14352235,14419226,Amotl1,218,2907,5825,8950,False
NM_009723,chr6,-,113693825,113992074,113698530,113792324,Atp2b2,628,3597,4705,8930,False
NM_010515,chr17,-,12875271,12962572,12876575,12962399,Igf2r,173,7452,1304,8929,False
NM_001081177,chr14,+,65271377,65428454,65271438,65425133,Kif13b,61,5532,3321,8914,False
NM_001159361,chr15,+,99869094,100049904,99869240,100045861,Dip2b,146,4725,4043,8914,False
NM_001110216,chr15,-,103021976,103045783,103030071,103043639,Cbx5,231,576,8095,8902,False
NM_172421,chr12,+,3426856,3506849,3427155,3502372,Asxl2,299,4113,4477,8889,False
NM_026375,chr1,-,181675034,181734146,181676463,181729462,Ahctf1,670,6732,1429,8831,False
NM_134163,chrX,-,48466670,48559167,48474183,48517771,Mbnl3,287,1029,7513,8829,False
NM_183276,chr9,-,110527292,110556665,110527628,110556451,Nbeal2,214,8253,336,8803,False
NM_012027,chr11,+,59475996,59594362,59476327,59585686,Mprip,331,3075,5378,8784,False
NM_021310,chr13,-,94200051,94269763,94209396,94269261,Jmy,502,2952,5326,8780,False
NM_001085495,chr2,+,166631080,166723551,166631214,166720288,Arfgef2,134,5379,3263,8776,False
NM_001110209,chr2,-,74352893,74417005,74360345,74411621,Lnpk,192,1131,7452,8775,False
NM_175485,chr9,+,72655080,72765114,72655263,72760109,Prtg,183,3576,5005,8764,False
NM_053204,chr6,-,119520813,119798168,119525642,119775072,Erc1,568,3363,4829,8760,False
NM_007772,chr13,+,42147389,42280395,42150871,42279882,Hivep1,173,8067,513,8753,False
NM_177821,chr15,+,81416643,81482507,81417058,81481412,Ep300,415,7239,1095,8749,False
NM_011424,chr5,-,125497522,125659584,125498536,125605244,Ncor2,324,7407,1014,8745,False
NM_153164,chr8,-,98242830,98331345,98244306,98312631,Cnot1,286,6981,1476,8743,False
NM_027444,chr16,-,50191956,50432502,50197671,50280643,Bbx,303,2724,5715,8742,False
NM_009730,chr2,+,130732230,130856062,130732296,130851677,Atrn,66,4287,4385,8738,False
NM_172381,chr4,-,58810105,58925621,58813052,58925369,Ecpas,252,5523,2947,8722,False
NM_001081379,chr8,-,125407721,125566184,125408050,125439887,Ankrd11,458,7932,329,8719,False
NM_172513,chr1,-,58579649,58643177,58586501,58614871,Fam126b,250,1593,6852,8695,False
NM_029885,chr3,-,94985689,95021864,94992591,95010492,Gabpb2,538,1245,6902,8685,False
NM_001033285,chr1,+,181891219,182095733,181891240,182092297,Cdc42bpa,21,5199,3436,8656,False
NM_001162917,chr9,+,64658817,64767474,64686640,64764902,Dennd4a,473,5610,2572,8655,False
NM_011308,chr11,-,62129927,62252017,62131344,62251947,Ncor1,70,7164,1417,8651,False
NM_027490,chr18,+,44540153,44584623,44540287,44577383,Dcp2,134,1269,7240,8643,False
NM_027629,chr7,+,107376116,107427382,107376433,107420939,Pgm2l1,317,1866,6443,8626,False
NM_028149,chr11,-,97943867,98010930,97950904,98010671,Fbxl20,259,1311,7037,8607,False
NM_172775,chr9,+,108997949,109022429,109002591,109020458,Plxnb1,269,6360,1971,8600,False
NM_020009,chr4,+,147822690,147931794,147826379,147930969,Mtor,120,7650,825,8595,False
NM_177093,chr16,+,37868485,37888943,37868581,37881548,Lrrc58,96,1101,7395,8592,False
NM_178854,chr5,-,96499351,96590774,96506198,96590715,Cnot6l,59,1668,6847,8574,False
NM_001039493,chr1,-,64835694,65003398,64841610,64984883,Plekhm3,360,2286,5916,8562,False
NM_029643,chr15,+,76369259,76378308,76369902,76371556,Slc52a2,456,1353,6752,8561,False
NM_029977,chr16,+,37011871,37095503,37011985,37094700,Polq,114,7635,803,8552,False
NM_207221,chr10,+,66589835,66719074,66590005,66718285,Jmjd1c,170,7593,789,8552,False
NM_001080819,chr4,-,133234922,133309900,133236245,133309526,Arid1a,374,6852,1323,8549,False
NM_145125,chr16,-,96213698,96304035,96215204,96303909,Brwd1,126,6915,1506,8547,False
NM_172719,chr5,+,116015271,116072663,116015297,116072159,Gcn1,26,8016,504,8546,False
NM_001081178,chr17,+,43526414,43596506,43540890,43592284,Adgrf5,266,4047,4222,8535,False
NM_001080706,chr19,+,37000568,37088547,37000877,37085894,Btaf1,309,5547,2653,8509,False
NM_201637,chr14,-,52817825,52877435,52818266,52857247,Chd8,299,7749,441,8489,False
NM_133904,chr5,+,114615526,114700767,114615526,114699629,Acacb,0,7347,1138,8485,False
