chrom	position	raw_depth	sample	gene_symbol	rpm_depth
chr16	46207069	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207070	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207071	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207072	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207073	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207074	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207075	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207076	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207077	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207078	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207079	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207080	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207081	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207082	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207083	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207084	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207085	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207086	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207087	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207088	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207089	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207090	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207091	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207092	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207093	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207094	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207095	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207096	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207097	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207098	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207099	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207100	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207101	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207102	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207103	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207104	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207105	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207106	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207107	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207108	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207109	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207110	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207111	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207112	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207113	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207114	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207115	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207116	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207117	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207118	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207119	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207120	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207121	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207122	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207123	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207124	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207125	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207126	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207127	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207128	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207129	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207130	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207131	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207132	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207133	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207134	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207135	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207136	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207137	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207138	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207139	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207140	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207141	0.0	CLIP_35L33G	Pvrl3	0.0
chr16	46207142	0.0	CLIP_35L33G	Pvrl3	0.0
