chrom	position	raw_depth	sample	gene_symbol	rpm_depth
chr7	79974040	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974041	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974042	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974043	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974044	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974045	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974046	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974047	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974048	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974049	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974050	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974051	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974052	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974053	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974054	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974055	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974056	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974057	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974058	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974059	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974060	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974061	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974062	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974063	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974064	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974065	0.0	RNA_siLin28a	Unc45a	0.0
chr7	79974066	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974067	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974068	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974069	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974070	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974071	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974072	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974073	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974074	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974075	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974076	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974077	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974078	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
chr7	79974079	1.0	RNA_siLin28a	Unc45a	0.030359425235361448
