chrom	position	raw_depth	sample	gene_symbol	rpm_depth
chrX	35860859	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860860	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860861	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860862	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860863	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860864	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860865	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860866	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860867	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860868	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860869	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860870	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860871	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860872	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860873	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860874	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860875	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860876	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860877	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860878	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860879	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860880	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860881	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860882	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860883	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860884	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860885	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860886	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860887	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860888	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860889	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860890	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860891	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860892	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860893	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860894	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860895	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860896	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860897	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860898	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860899	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860900	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860901	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860902	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860903	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860904	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860905	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860906	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860907	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860908	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860909	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860910	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860911	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860912	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860913	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860914	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860915	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860916	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860917	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860918	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860919	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860920	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860921	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860922	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860923	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860924	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860925	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860926	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860927	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860928	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860929	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860930	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860931	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860932	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860933	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860934	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860935	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860936	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860937	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860938	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860939	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860940	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860941	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860942	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860943	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860944	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860945	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860946	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860947	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860948	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860949	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860950	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860951	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860952	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860953	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860954	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860955	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860956	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860957	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860958	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860959	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860960	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860961	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860962	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860963	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860964	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860965	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860966	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860967	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860968	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860969	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860970	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860971	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860972	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860973	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860974	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860975	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860976	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860977	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860978	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860979	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860980	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860981	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860982	0.0	CLIP_35L33G	Pgrmc1	0.0
chrX	35860983	0.0	CLIP_35L33G	Pgrmc1	0.0
