chrom	position	raw_depth	sample	gene_symbol	rpm_depth
chrX	35860859	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860860	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860861	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860862	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860863	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860864	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860865	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860866	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860867	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860868	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860869	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860870	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860871	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860872	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860873	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860874	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860875	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860876	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860877	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860878	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860879	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860880	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860881	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860882	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860883	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860884	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860885	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860886	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860887	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860888	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860889	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860890	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860891	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860892	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860893	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860894	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860895	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860896	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860897	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860898	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860899	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860900	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860901	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860902	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860903	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860904	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860905	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860906	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860907	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860908	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860909	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860910	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860911	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860912	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860913	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860914	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860915	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860916	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860917	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860918	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860919	0.0	RNA_siLin28a	Pgrmc1	0.0
chrX	35860920	0.0	RNA_siLin28a	Pgrmc1	0.0
